"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural Gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
PJM,"11/11/2025 11 p.m. EST",8769,15,1196,2125,985,38230,17985,30880
PJM,"11/12/2025 12 a.m. EST",8857,15,554,1859,761,36738,17012,30775
PJM,"11/12/2025 1 a.m. EST",8866,15,716,1770,380,34525,16352,30774
PJM,"11/12/2025 2 a.m. EST",8620,15,893,1739,282,32770,15329,30798
PJM,"11/12/2025 3 a.m. EST",8638,15,858,1733,271,31820,14886,30829
PJM,"11/12/2025 4 a.m. EST",8764,15,812,1697,270,31277,14641,30867
PJM,"11/12/2025 5 a.m. EST",8924,15,1108,1698,279,30665,14462,30893
PJM,"11/12/2025 6 a.m. EST",8730,15,2243,1809,991,31086,15284,30927
PJM,"11/12/2025 7 a.m. EST",8520,16,3536,2461,1547,33796,16102,30938
PJM,"11/12/2025 8 a.m. EST",8528,764,4239,2667,1540,36053,16816,30949
PJM,"11/12/2025 9 a.m. EST",8575,4658,3135,2706,1330,34431,16558,30970
PJM,"11/12/2025 10 a.m. EST",8083,8108,1010,2652,1295,32586,15994,30998
PJM,"11/12/2025 11 a.m. EST",7395,8452,577,2660,1161,32790,15660,31026
PJM,"11/12/2025 12 p.m. EST",7539,8220,370,2505,1008,31255,15065,31047
PJM,"11/12/2025 1 p.m. EST",7836,7924,334,2383,1070,30584,14786,31063
PJM,"11/12/2025 2 p.m. EST",8250,8210,338,2240,886,29489,14518,31055
PJM,"11/12/2025 3 p.m. EST",8309,8402,344,2262,787,28764,14240,31026
PJM,"11/12/2025 4 p.m. EST",8438,7394,465,2211,897,29308,13986,30929
PJM,"11/12/2025 5 p.m. EST",8276,2546,1334,2517,1376,33163,15202,30871
PJM,"11/12/2025 6 p.m. EST",8360,93,3070,2595,1863,35103,16285,30869
PJM,"11/12/2025 7 p.m. EST",8750,24,3460,2611,1673,36207,16902,30874
PJM,"11/12/2025 8 p.m. EST",8873,17,3078,2542,1571,35992,16862,30910
PJM,"11/12/2025 9 p.m. EST",8937,17,2325,2608,1331,34970,17111,30781
PJM,"11/12/2025 10 p.m. EST",9087,17,1304,2636,1263,33561,17127,30464
PJM,"11/12/2025 11 p.m. EST",8951,17,460,2290,752,32191,16991,30147
PJM,"11/13/2025 12 a.m. EST",8632,17,408,2050,308,30979,16297,30053
PJM,"11/13/2025 1 a.m. EST",8248,17,380,1955,166,30714,15209,29911
PJM,"11/13/2025 2 a.m. EST",7486,17,344,1836,166,30273,14629,29797
PJM,"11/13/2025 3 a.m. EST",6651,17,306,1810,167,30791,14600,29786
PJM,"11/13/2025 4 a.m. EST",6222,17,298,1742,167,30788,14522,29800
PJM,"11/13/2025 5 a.m. EST",5631,17,295,1801,167,31034,14930,29803
PJM,"11/13/2025 6 a.m. EST",4758,17,1063,1886,410,32183,15485,29802
PJM,"11/13/2025 7 a.m. EST",3994,17,3537,2344,743,34055,16094,29801
PJM,"11/13/2025 8 a.m. EST",3625,313,3718,2573,1324,36314,16762,29805
PJM,"11/13/2025 9 a.m. EST",3059,3473,2385,2566,1123,35903,17114,29803
PJM,"11/13/2025 10 a.m. EST",2552,7464,778,2407,1030,33888,15970,29801
PJM,"11/13/2025 11 a.m. EST",2115,8789,346,2250,672,34049,15747,29793
PJM,"11/13/2025 12 p.m. EST",2205,8784,333,2176,667,33358,15665,29785
PJM,"11/13/2025 1 p.m. EST",2450,8588,328,2110,639,32159,15559,29779
PJM,"11/13/2025 2 p.m. EST",2522,8655,317,2082,621,31688,15225,29773
PJM,"11/13/2025 3 p.m. EST",2534,8625,315,2085,555,31509,15003,29769
PJM,"11/13/2025 4 p.m. EST",2560,6717,683,2049,502,32563,14920,29759
PJM,"11/13/2025 5 p.m. EST",2446,2149,2452,2193,696,36080,15731,29761
PJM,"11/13/2025 6 p.m. EST",2646,133,3555,2428,1276,38656,17597,29757
PJM,"11/13/2025 7 p.m. EST",3414,41,3325,2554,1280,39516,18632,29763
PJM,"11/13/2025 8 p.m. EST",4309,15,3049,2463,925,38497,18433,29761
PJM,"11/13/2025 9 p.m. EST",4468,15,2684,2593,712,38338,18210,29743
PJM,"11/13/2025 10 p.m. EST",4781,15,1875,2541,663,36569,18051,29772
PJM,"11/13/2025 11 p.m. EST",5625,15,894,2035,345,35083,17600,29775
PJM,"11/14/2025 12 a.m. EST",5655,15,287,2054,323,34337,17677,29775
PJM,"11/14/2025 1 a.m. EST",5315,15,211,2022,171,32121,16912,29777
PJM,"11/14/2025 2 a.m. EST",5368,15,212,2006,171,31877,16688,29777
PJM,"11/14/2025 3 a.m. EST",5374,15,214,1980,170,31721,16408,29779
PJM,"11/14/2025 4 a.m. EST",5297,15,218,1953,169,31280,16102,29783
PJM,"11/14/2025 5 a.m. EST",5022,15,285,1901,169,31449,16233,29791
PJM,"11/14/2025 6 a.m. EST",4729,15,1111,1997,599,32806,16852,29788
PJM,"11/14/2025 7 a.m. EST",4526,17,3581,2049,967,35480,16962,29785
PJM,"11/14/2025 8 a.m. EST",4524,780,3881,2147,1739,38375,17267,29802
PJM,"11/14/2025 9 a.m. EST",4464,4276,1796,2104,1793,36244,16778,29803
PJM,"11/14/2025 10 a.m. EST",4056,6969,1002,2062,1157,33901,15588,29796
PJM,"11/14/2025 11 a.m. EST",2918,7368,549,1993,715,34209,14815,29787
PJM,"11/14/2025 12 p.m. EST",2340,6968,268,2035,679,34185,15246,29772
PJM,"11/14/2025 1 p.m. EST",1678,7063,229,2102,657,33979,15757,29758
PJM,"11/14/2025 2 p.m. EST",1523,7267,230,2081,559,32907,15614,29741
PJM,"11/14/2025 3 p.m. EST",1826,7309,239,1991,618,32692,15109,29732
PJM,"11/14/2025 4 p.m. EST",2386,5669,240,1909,591,33221,15045,29722
PJM,"11/14/2025 5 p.m. EST",2858,1824,1758,1974,629,35836,15359,29730
PJM,"11/14/2025 6 p.m. EST",3289,73,2945,2002,692,38709,16353,29725
PJM,"11/14/2025 7 p.m. EST",4194,21,2450,1914,649,38979,16442,29732
PJM,"11/14/2025 8 p.m. EST",5032,15,1855,1789,657,37864,16359,29732
PJM,"11/14/2025 9 p.m. EST",6106,15,940,1838,683,35896,16572,29745
PJM,"11/14/2025 10 p.m. EST",6590,15,304,1852,306,34442,16638,29753
PJM,"11/14/2025 11 p.m. EST",7220,15,201,1505,167,32780,15849,29754
PJM,"11/15/2025 12 a.m. EST",7090,15,216,1264,167,31539,14423,29773
PJM,"11/15/2025 1 a.m. EST",7298,15,221,1301,167,30255,14531,29791
PJM,"11/15/2025 2 a.m. EST",7782,15,238,1265,166,28164,14757,29812
PJM,"11/15/2025 3 a.m. EST",7613,15,257,1287,166,27521,13690,29851
PJM,"11/15/2025 4 a.m. EST",7319,15,279,1283,165,27342,12932,29859
PJM,"11/15/2025 5 a.m. EST",7138,15,308,1301,165,27626,13621,29863
PJM,"11/15/2025 6 a.m. EST",6990,15,551,1301,164,27018,13224,29869
PJM,"11/15/2025 7 a.m. EST",7151,15,1427,1293,163,27329,12864,29867
PJM,"11/15/2025 8 a.m. EST",7247,444,2033,1272,163,27353,12895,29863
PJM,"11/15/2025 9 a.m. EST",7273,2371,1616,1281,163,27578,13132,29868
PJM,"11/15/2025 10 a.m. EST",7439,3836,674,1246,162,27035,13314,29864
PJM,"11/15/2025 11 a.m. EST",7794,4225,238,1246,162,27557,13359,29853
PJM,"11/15/2025 12 p.m. EST",7626,4378,215,1276,328,28082,13594,29844
PJM,"11/15/2025 1 p.m. EST",7298,4465,211,1268,518,28015,13520,29834
PJM,"11/15/2025 2 p.m. EST",7384,4102,209,1237,351,27931,13287,29820
PJM,"11/15/2025 3 p.m. EST",7205,3146,225,1240,359,28621,13635,29806
PJM,"11/15/2025 4 p.m. EST",6948,1708,661,1241,357,29106,14026,29802
PJM,"11/15/2025 5 p.m. EST",7012,657,1350,1241,468,29622,14221,29801
PJM,"11/15/2025 6 p.m. EST",8477,47,2697,1263,468,30419,13715,29803
PJM,"11/15/2025 7 p.m. EST",9048,16,2621,1277,505,31081,13474,29802
PJM,"11/15/2025 8 p.m. EST",9199,15,2157,1295,506,30288,13220,29808
PJM,"11/15/2025 9 p.m. EST",9221,15,1384,1305,453,29351,12857,29812
PJM,"11/15/2025 10 p.m. EST",9301,15,540,1268,398,28488,12607,29753
PJM,"11/15/2025 11 p.m. EST",9256,15,246,1282,165,27814,12662,29609
